table_type,id,asset_class,vintage_year,metric_type,value,quartile_type,sample_size
performance_by_vintage,805,private_equity,2000,pooled_irr,0.1498,,54
performance_by_vintage,805,private_equity,2000,equal_weighted_pooled_irr,0.123,,54
performance_by_vintage,805,private_equity,2000,irr,0.2976,top_decile,54
performance_by_vintage,805,private_equity,2000,irr,0.227,top_quartile,54
performance_by_vintage,805,private_equity,2000,irr,0.131,median,54
performance_by_vintage,805,private_equity,2000,irr,0.06,bottom_quartile,54
performance_by_vintage,806,private_equity,2001,pooled_irr,0.2806,,28
performance_by_vintage,806,private_equity,2001,equal_weighted_pooled_irr,0.2465,,28
performance_by_vintage,807,private_equity,2002,pooled_irr,0.1974,,27
performance_by_vintage,807,private_equity,2002,equal_weighted_pooled_irr,0.1654,,27
performance_by_vintage,807,private_equity,2002,irr,0.3632,top_decile,27
performance_by_vintage,807,private_equity,2002,irr,0.2643,top_quartile,27
performance_by_vintage,807,private_equity,2002,irr,0.1619,median,27
performance_by_vintage,807,private_equity,2002,irr,0.0606,bottom_quartile,27
performance_by_vintage,808,private_equity,2003,pooled_irr,0.1602,,30
performance_by_vintage,808,private_equity,2003,equal_weighted_pooled_irr,0.1419,,30
performance_by_vintage,809,private_equity,2004,pooled_irr,0.107,,40
performance_by_vintage,809,private_equity,2004,equal_weighted_pooled_irr,0.1189,,40
performance_by_vintage,809,private_equity,2004,irr,0.3802,top_decile,40
performance_by_vintage,809,private_equity,2004,irr,0.2398,top_quartile,40
performance_by_vintage,809,private_equity,2004,irr,0.1282,median,40
performance_by_vintage,809,private_equity,2004,irr,0.0366,bottom_quartile,40
performance_by_vintage,810,private_equity,2005,pooled_irr,0.0981,,71
performance_by_vintage,810,private_equity,2005,equal_weighted_pooled_irr,0.0903,,71
performance_by_vintage,811,private_equity,2006,pooled_irr,0.0785,,102
performance_by_vintage,811,private_equity,2006,equal_weighted_pooled_irr,0.0795,,102
performance_by_vintage,811,private_equity,2006,irr,0.2068,top_decile,102
performance_by_vintage,811,private_equity,2006,irr,0.1339,top_quartile,102
performance_by_vintage,811,private_equity,2006,irr,0.0932,median,102
performance_by_vintage,811,private_equity,2006,irr,0.0459,bottom_quartile,102
performance_by_vintage,812,private_equity,2007,pooled_irr,0.0931,,106
performance_by_vintage,812,private_equity,2007,equal_weighted_pooled_irr,0.098,,106
performance_by_vintage,813,private_equity,2008,pooled_irr,0.1326,,105
performance_by_vintage,813,private_equity,2008,equal_weighted_pooled_irr,0.1087,,105
performance_by_vintage,813,private_equity,2008,irr,0.244,top_decile,105
performance_by_vintage,813,private_equity,2008,irr,0.1734,top_quartile,105
performance_by_vintage,813,private_equity,2008,irr,0.105,median,105
performance_by_vintage,813,private_equity,2008,irr,0.057,bottom_quartile,105
performance_by_vintage,814,private_equity,2009,pooled_irr,0.1235,,39
performance_by_vintage,814,private_equity,2009,equal_weighted_pooled_irr,0.1431,,39
performance_by_vintage,815,private_equity,2010,pooled_irr,0.1256,,50
performance_by_vintage,815,private_equity,2010,equal_weighted_pooled_irr,0.1201,,50
performance_by_vintage,815,private_equity,2010,irr,0.2775,top_decile,50
performance_by_vintage,815,private_equity,2010,irr,0.2113,top_quartile,50
performance_by_vintage,815,private_equity,2010,irr,0.1236,median,50
performance_by_vintage,815,private_equity,2010,irr,0.0564,bottom_quartile,50
performance_by_vintage,816,private_equity,2011,pooled_irr,0.1423,,76
performance_by_vintage,816,private_equity,2011,equal_weighted_pooled_irr,0.1424,,76
performance_by_vintage,817,private_equity,2012,pooled_irr,0.1587,,85
performance_by_vintage,817,private_equity,2012,equal_weighted_pooled_irr,0.1551,,85
performance_by_vintage,817,private_equity,2012,irr,0.318,top_decile,85
performance_by_vintage,817,private_equity,2012,irr,0.2378,top_quartile,85
performance_by_vintage,817,private_equity,2012,irr,0.1455,median,85
performance_by_vintage,817,private_equity,2012,irr,0.0823,bottom_quartile,85
performance_by_vintage,818,private_equity,2013,pooled_irr,0.1479,,87
performance_by_vintage,818,private_equity,2013,equal_weighted_pooled_irr,0.1542,,87
performance_by_vintage,819,private_equity,2014,pooled_irr,0.1677,,75
performance_by_vintage,819,private_equity,2014,equal_weighted_pooled_irr,0.164,,75
performance_by_vintage,819,private_equity,2014,irr,0.3346,top_decile,75
performance_by_vintage,819,private_equity,2014,irr,0.2482,top_quartile,75
performance_by_vintage,819,private_equity,2014,irr,0.1685,median,75
performance_by_vintage,819,private_equity,2014,irr,0.0911,bottom_quartile,75
performance_by_vintage,820,private_equity,2015,pooled_irr,0.1818,,105
performance_by_vintage,820,private_equity,2015,equal_weighted_pooled_irr,0.1713,,105
performance_by_vintage,821,private_equity,2016,pooled_irr,0.1711,,112
performance_by_vintage,821,private_equity,2016,equal_weighted_pooled_irr,0.1822,,112
performance_by_vintage,821,private_equity,2016,irr,0.3485,top_decile,112
performance_by_vintage,821,private_equity,2016,irr,0.2272,top_quartile,112
