Investment Name*,Asset Class*,Investment Structure*,Manager,Strategy*,Vintage Year*,Target Raise,Geography Focus,Commitment Amount*,Commitment Date*,Management Fee (%),Performance Fee (%),Hurdle Rate (%),Distribution Target,Currency,Liquidity Profile*,Expected Maturity Date,Reporting Frequency,Contact Person,Email,Portal Link,Fund Administrator,Fund Domicile,Tax Classification,Activity Classification,Due Diligence Date,IC Approval Date,Risk Rating,Benchmark Index
"Apollo Strategic Fund III, L.P.",PRIVATE_EQUITY,LIMITED_PARTNERSHIP,Apollo Global Management,"Large-cap buyout strategy focused on North American companies",2020,5000000000,"North America",25000000,2020-06-15,2.0,20.0,8.0,"3x net return target",USD,ILLIQUID,2028-06-30,QUARTERLY,Sarah Mitchell,sarah.mitchell@apollo.com,https://apollo-investor.com,SS&C Technologies,"Delaware, USA",K-1,PASSIVE,2020-03-10,2020-05-20,MEDIUM,S&P 500
"Blackstone Real Estate Partners IX",REAL_ESTATE,LIMITED_PARTNERSHIP,Blackstone Inc.,"Core-plus and opportunistic real estate investments globally",2021,18500000000,"Global",15000000,2021-03-22,1.5,15.0,6.0,"2.5x net return target",USD,ILLIQUID,2029-12-31,QUARTERLY,James Rodriguez,james.rodriguez@blackstone.com,https://blackstone-re.com,BNY Mellon,"Delaware, USA",K-1,PASSIVE,2021-01-15,2021-02-28,LOW,NCREIF Property Index
"KKR North America Fund XIV",PRIVATE_EQUITY,LIMITED_PARTNERSHIP,KKR & Co. Inc.,"Mid-market growth equity and buyout investments",2022,19000000000,"North America",20000000,2022-09-10,2.0,20.0,8.0,"3x net return target",USD,ILLIQUID,2030-09-30,QUARTERLY,Maria Chen,maria.chen@kkr.com,https://kkr-investor.com,State Street,"Delaware, USA",K-1,PASSIVE,2022-06-01,2022-08-15,MEDIUM,Russell 2000
"Oaktree Opportunities Fund Xb",PRIVATE_CREDIT,LIMITED_PARTNERSHIP,Oaktree Capital Management,"Distressed debt and special situations investments",2019,11000000000,"Global",12000000,2019-11-20,1.75,15.0,7.0,"2x net return target",USD,SEMI_LIQUID,2027-11-30,QUARTERLY,David Park,david.park@oaktree.com,https://oaktree-funds.com,Northern Trust,"Delaware, USA",K-1,PASSIVE,2019-09-05,2019-10-30,HIGH,Barclays High Yield Index
"Carlyle Global Credit Opportunities II",PRIVATE_CREDIT,LIMITED_PARTNERSHIP,The Carlyle Group,"Direct lending and structured credit investments",2023,8500000000,"Global",18000000,2023-04-05,1.5,12.5,6.5,"2.25x net return target",USD,SEMI_LIQUID,2031-04-30,QUARTERLY,Lisa Wang,lisa.wang@carlyle.com,https://carlyle-credit.com,JPMorgan,"Delaware, USA",K-1,PASSIVE,2023-01-10,2023-03-15,MEDIUM,S&P/LSTA Leveraged Loan Index
"Citadel Wellington Fund",HEDGE_FUND,HEDGE_FUND,Citadel LLC,"Multi-strategy hedge fund with global macro focus",2021,2500000000,"Global",10000000,2021-07-30,2.0,20.0,0.0,"Absolute return target",USD,LIQUID,2024-07-31,MONTHLY,Thomas Johnson,thomas.johnson@citadel.com,https://citadel-invest.com,Goldman Sachs,"Cayman Islands",K-1,ACTIVE,2021-06-01,2021-07-20,HIGH,HFRI Fund of Funds Index
"Sequoia Capital Growth Fund V",VENTURE_CAPITAL,LIMITED_PARTNERSHIP,Sequoia Capital,"Late-stage venture capital and growth equity",2022,2850000000,"Global",8000000,2022-01-25,2.5,25.0,8.0,"5x net return target",USD,ILLIQUID,2032-01-31,QUARTERLY,Jennifer Kim,jennifer.kim@sequoiacap.com,https://sequoia-lp.com,Silicon Valley Bank,"Delaware, USA",K-1,PASSIVE,2021-11-10,2021-12-20,HIGH,NASDAQ Composite
"Brookfield Infrastructure Fund IV",REAL_ASSETS,LIMITED_PARTNERSHIP,Brookfield Asset Management,"Global infrastructure investments including utilities and transport",2020,20000000000,"Global",22000000,2020-12-15,1.25,12.5,5.0,"2x net return target",USD,ILLIQUID,2028-12-31,QUARTERLY,Michael Brown,michael.brown@brookfield.com,https://brookfield-infra.com,CIBC Mellon,"Ontario, Canada",K-1,PASSIVE,2020-09-15,2020-11-30,LOW,Dow Jones Brookfield Infrastructure Index
"Tiger Global Private Investment Partners XIV",PRIVATE_EQUITY,LIMITED_PARTNERSHIP,Tiger Global Management,"Technology-focused growth equity investments",2023,12500000000,"Global",14000000,2023-08-18,2.0,20.0,8.0,"4x net return target",USD,ILLIQUID,2031-08-31,QUARTERLY,Rachel Davis,rachel.davis@tigerglobal.com,https://tiger-private.com,Morgan Stanley,"Delaware, USA",K-1,PASSIVE,2023-05-20,2023-07-25,MEDIUM,NASDAQ 100
"Cash Management Account - Prime Brokerage",CASH_AND_EQUIVALENTS,BANK_ACCOUNT,Goldman Sachs,"Short-term liquidity management and cash sweeps",2024,0,"North America",5000000,2024-01-15,0.0,0.0,0.0,"Capital preservation",USD,LIQUID,2024-12-31,MONTHLY,Alex Thompson,alex.thompson@gs.com,https://gs-prime.com,Goldman Sachs,"New York, USA",1099,ACTIVE,2023-12-01,2024-01-10,LOW,Fed Funds Rate
